sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3779-KR-S,23,4,1465.0,2,2,2,222,6,Others,Needs Nurturing
JNE3779-KR-XL,2,7,2248.0,4,2,2,422,8,Loyal,Retained
JNE3779-KR-XXL,4,4,1551.0,4,2,2,422,8,Loyal,Retained
JNE3779-KR-XXXL,6,4,1374.0,3,2,1,321,6,Others,Needs Nurturing
JNE3780-KR-L,16,5,1615.0,2,2,2,222,6,Others,Needs Nurturing
JNE3780-KR-M,16,1,325.0,2,1,1,211,4,Others,Needs Nurturing
JNE3780-KR-S,44,1,325.0,1,1,1,111,3,At Risk,Churn Likely
JNE3780-KR-XL,13,4,1290.0,2,2,1,221,5,Others,Needs Nurturing
JNE3780-KR-XXL,11,6,1967.0,3,2,2,322,7,Others,Needs Nurturing
JNE3780-KR-XXXL,19,4,1300.0,2,2,1,221,5,Others,Needs Nurturing
JNE3781-KR-L,1,82,32796.85,4,4,4,444,12,Champions,Needs Nurturing
JNE3781-KR-M,2,74,31145.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3781-KR-S,1,45,17968.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3781-KR-XL,3,110,44314.1,4,4,4,444,12,Champions,Needs Nurturing
JNE3781-KR-XS,5,15,6470.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3781-KR-XXL,1,86,35704.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3781-KR-XXXL,1,101,42021.1,4,4,4,444,12,Champions,Needs Nurturing
JNE3782-KR-L,4,11,5609.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3782-KR-M,5,4,2119.0,3,2,2,322,7,Others,Needs Nurturing
JNE3782-KR-S,4,6,3108.0,4,2,2,422,8,Loyal,Retained
JNE3782-KR-XL,25,20,10017.1,2,4,3,243,9,Champions,Needs Nurturing
JNE3782-KR-XS,12,2,998.0,3,1,1,311,5,Others,Needs Nurturing
JNE3782-KR-XXL,14,13,6838.0,2,3,3,233,8,Others,Needs Nurturing
JNE3782-KR-XXXL,6,24,12283.62,3,4,4,344,11,Champions,Needs Nurturing
JNE3783-KR-L,12,13,6509.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3783-KR-M,14,5,2519.0,2,2,2,222,6,Others,Needs Nurturing
JNE3783-KR-S,8,7,3426.0,3,2,2,322,7,Others,Needs Nurturing
JNE3783-KR-XL,2,10,5020.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3783-KR-XS,87,1,0.0,1,1,1,111,3,At Risk,Churn Likely
JNE3783-KR-XXL,24,12,5994.0,2,3,3,233,8,Others,Needs Nurturing
JNE3783-KR-XXXL,8,23,11359.48,3,4,4,344,11,Champions,Needs Nurturing
JNE3784-KR-L,3,133,62725.9,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-M,1,141,64502.38,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-S,1,62,25010.38,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-XL,2,113,54480.39,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-XS,2,52,20657.57,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-XXL,3,98,47678.86,4,4,4,444,12,Champions,Needs Nurturing
JNE3784-KR-XXXL,2,74,35746.76,4,4,4,444,12,Champions,Needs Nurturing
JNE3785-KR-L,1,39,12386.76,4,4,4,444,12,Champions,Needs Nurturing
JNE3785-KR-M,6,23,7709.0,3,4,3,343,10,Champions,Needs Nurturing
JNE3785-KR-S,11,18,6238.0,3,4,3,343,10,Champions,Needs Nurturing
JNE3785-KR-XL,2,39,13073.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3785-KR-XS,4,7,2454.0,4,2,2,422,8,Loyal,Retained
JNE3785-KR-XXL,4,32,10993.71,4,4,4,444,12,Champions,Needs Nurturing
JNE3785-KR-XXXL,1,35,12442.0,4,4,4,444,12,Champions,Needs Nurturing
JNE3786-KR-L,6,6,2322.0,3,2,2,322,7,Others,Needs Nurturing
JNE3786-KR-M,28,2,717.0,2,1,1,211,4,Others,Needs Nurturing
JNE3786-KR-S,8,10,3566.0,3,3,2,332,8,Others,Needs Nurturing
JNE3786-KR-XL,26,9,3150.0,2,3,2,232,7,Others,Needs Nurturing
